,Cell ID,Slice,x,y,Dist to pia,Dist to bottom,Angle,Ank1,Kcnmb2,Ankrd55,Slc32a1,Btbd11,Arx,Dlx1,Gad2,Pvalb,Pdgfra,Nxph4,Car3,Slc17a8,Syt6,Rspo1,Lratd2,Deptor,Ndnf,Chrna2,Calb1,Sncg,Th,Gad1,Slc17a7,Neurod1,Rorb,Fezf2,Adarb2,Lamp5,Vip,Lhx6,Chodl,Fa2h,Ly86,Ly6c2,Dcn,Fgfr3,Map3k7cl,Nxph1,Pcp4,Neurod6,Nrn1,Sst,Nrgn,Ptn,Cck,Synpr,Slc6a1,Dlx6,Atp1a3,Arpp19,Npy,Cxcl14,Rab3b,Cryab,Penk,Tesc,Crh,Caln1,Kcnip1,Gm11549,Ctxn1,Car4,Nfib,Id2,Igfbp6,Itpka,Ptprd,Sv2b,Vxn,Reln,Rprml,Cnr1,Cacna2d3,Plpp4,Adcy2,Kcnip4,Sparcl1,Brinp3,unused-1,unused-2
4059,280035,2,11583.0,8581.63,992.878,180.162,166.075,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,3,0,1,0,0,0,1,2,0,0,2,0,1,0,1,0,1,0,0,0
4060,280036,2,11602.5,7028.13,1097.43,98.3058,171.924,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,7,0,0,0,0,0,0,7,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,10,0,0,0,1,0,8,4,0,0,2,2,0,0,0,1,0,14,3,0,1,0,0,0,1,4,7,0,1,0,1,0,0,0,3,0,0,0
4061,280037,2,11623.6,6576.38,1127.59,73.1788,171.924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,5,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0
4062,280038,2,11638.3,7317.38,1081.94,110.17399999999999,171.924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,12,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,8,4,0,1,2,0,0,0,1,5,1,0,0,0,0,0,1,4,0,0,0
4063,280039,2,11620.4,5928.0,1168.27,39.9905,171.924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,3,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
4064,280040,2,11628.5,7770.75,1052.56,134.411,171.924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,7,2,0,0,0,0,1,1,0,6,0,0,1,0,0,1,0,6,0,0,0
4065,280043,2,11656.1,8375.25,1012.64,163.247,166.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,1,0,0,4,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,0
4066,280044,2,11652.9,6295.25,1147.6,56.163000000000004,171.924,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,4,0,0,0,0,0,1,6,0,0,6,20,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,16,1,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,21,1,0,1,0,0,0,0,0,3,0,0,0,0,0,1,1,1,0,0,0
4067,280045,2,11651.3,7696.0,1059.04,128.60399999999998,171.924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
4068,280046,2,11656.1,7951.13,1042.63,141.355,166.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0
