,Angle,Ank1,Kcnmb2,Ankrd55,Slc32a1,Btbd11,Arx,Dlx1,Gad2,Pvalb,Pdgfra,Nxph4,Car3,Slc17a8,Syt6,Rspo1,Lratd2,Deptor,Ndnf,Chrna2,Calb1,Sncg,Th,Gad1,Slc17a7,Neurod1,Rorb,Fezf2,Adarb2,Lamp5,Vip,Lhx6,Chodl,Fa2h,Ly86,Ly6c2,Dcn,Fgfr3,Map3k7cl,Nxph1,Pcp4,Neurod6,Nrn1,Sst,Nrgn,Ptn,Cck,Synpr,Slc6a1,Dlx6,Atp1a3,Arpp19,Npy,Cxcl14,Rab3b,Cryab,Penk,Tesc,Crh,Caln1,Kcnip1,Gm11549,Ctxn1,Car4,Nfib,Id2,Igfbp6,Itpka,Ptprd,Sv2b,Vxn,Reln,Rprml,Cnr1,Cacna2d3,Plpp4,Adcy2,Kcnip4,Sparcl1,Brinp3
1424,174.115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0
1425,174.115,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,3,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,3,1,1,0,14,0,0,0,0,0,15,1,0,0,0,1,0,0,0,1,0,17,2,0,1,0,0,1,0,4,5,0,0,0,0,0,1,0,2,0
1426,174.115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,2,3,0,0,1,12,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,1,0,0,0,10,2,2,0,0,0,0,0,0,0,0,21,6,0,3,2,0,0,2,2,8,0,0,0,0,0,0,2,4,0
1427,174.115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,4,0,6,1,0,0,0,0,13,1,1,0,0,0,0,0,0,0,0,5,6,0,0,0,1,1,1,1,7,0,0,0,0,0,0,0,5,0
1428,174.115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,1,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0
1429,178.011,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,7,1,0,0,0,0,5,2,0,0,0,0,0,0,0,1,0,14,5,0,4,1,0,0,2,2,3,0,0,0,0,0,1,0,4,0
1430,174.115,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,9,1,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,10,4,0,1,0,0,1,1,1,7,0,0,0,0,0,0,0,2,0
1431,177.232,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,4,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,5,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,12,2,0,0,0,0,0,0,8,2,0,0,0,0,0,1,0,4,0
1432,176.71400000000003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0
1433,179.269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,17,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0
