,Alcam,Ank1,Ankrd55,B3galt1,Cdh9,Chodl,Cux2,Dlx1,Elfn1,Fam19a2,Fezf2,Foxp2,Gad2,Galnt14,Grin3a,Grm5,Kcnip4,Kcnk2,Kcnmb2,Ldb2,Lhx6,Lingo2,Mef2c,Mpped1,Npas1,Nr2f2,Nts,Parm1,Pcdh8,Pde1a,Prox1,Pvalb,Rorb,Satb2,Sema3e,Sez6,Slc32a1,Sv2c,Syndig1,Thsd7a,Tnni3k,Unc13c
492,1,13,0,0,0,0,1,0,2,4,5,1,2,2,0,16,2,14,0,4,1,1,35,22,0,1,1,4,0,16,0,1,6,11,1,11,3,0,7,1,0,1
493,6,7,1,5,0,0,2,2,2,9,10,1,2,0,2,23,0,25,1,9,0,1,53,39,0,0,0,3,1,60,0,6,17,21,0,21,3,2,11,10,0,1
494,2,5,1,2,0,0,4,0,10,1,7,0,1,1,2,8,0,11,1,7,1,0,23,7,1,0,0,2,0,3,1,1,2,8,7,6,1,1,3,1,0,0
495,4,0,0,4,0,1,5,0,5,4,3,1,6,1,0,6,1,11,0,4,0,0,31,2,1,0,0,0,0,5,0,4,6,7,0,4,2,1,5,3,0,0
496,2,3,1,1,0,0,5,1,0,1,0,0,1,1,1,4,0,2,0,1,0,1,15,7,0,2,0,1,0,0,0,5,0,3,0,2,2,0,1,4,0,0
497,3,4,2,3,2,0,3,1,4,2,4,1,2,0,2,6,1,9,0,0,1,1,9,6,0,4,0,0,2,0,2,5,3,3,2,0,1,1,0,1,0,0
498,6,14,1,3,0,1,1,1,4,5,38,1,3,1,3,30,5,21,0,13,0,6,75,52,1,0,0,4,0,49,0,5,10,28,1,27,4,1,11,7,0,2
499,0,15,0,4,1,0,4,4,20,0,2,3,12,1,19,4,2,1,0,1,7,1,13,15,3,2,0,4,0,7,2,6,3,4,0,2,20,2,7,1,0,7
500,3,2,1,3,1,0,24,1,4,5,2,0,0,1,0,23,3,11,3,0,0,1,39,11,0,0,1,2,0,4,0,3,8,15,1,4,3,0,6,3,1,2
501,1,7,2,7,0,0,4,0,1,10,7,2,2,1,0,41,1,20,0,3,0,0,91,18,1,2,0,1,0,9,1,4,17,22,0,15,0,0,4,30,0,1
502,4,15,2,4,5,0,7,5,15,6,3,1,8,0,17,18,2,10,0,3,3,1,35,28,2,0,0,1,1,9,1,6,5,11,0,10,15,0,2,7,0,10
503,1,4,0,4,0,0,3,0,1,7,1,5,1,0,4,6,1,5,1,1,0,0,16,14,0,0,0,5,1,15,0,5,4,10,1,6,1,0,2,3,0,1
504,8,16,0,9,0,0,1,0,2,10,4,3,5,8,2,40,1,15,1,13,0,1,89,61,1,0,1,3,0,56,0,9,3,29,2,33,4,1,17,0,1,0
505,3,8,0,12,0,1,3,0,2,7,4,0,0,2,0,14,2,24,1,5,1,1,53,27,0,0,2,6,0,24,0,13,9,24,0,13,2,0,13,8,0,5
506,1,4,0,2,0,0,1,0,0,0,5,1,3,2,0,11,1,1,0,2,0,0,5,9,0,0,0,4,0,3,0,0,1,6,1,2,1,0,2,1,0,0
507,2,2,0,5,0,1,3,0,6,3,4,3,3,2,2,4,0,8,0,4,1,0,22,11,1,2,0,5,0,6,0,10,1,8,0,4,2,1,2,0,0,0
508,0,6,0,0,0,0,2,0,1,6,0,1,0,0,2,4,1,10,0,0,0,0,20,8,0,3,0,1,0,2,0,0,1,6,0,1,0,0,2,3,0,1
509,3,8,0,9,2,0,21,0,4,8,3,1,1,1,0,23,6,23,0,7,1,1,141,33,1,0,1,1,0,19,1,9,21,33,1,12,2,0,10,12,0,1
510,3,12,0,11,0,0,7,0,5,4,12,2,4,2,1,24,3,15,0,4,0,1,48,29,0,0,0,3,0,32,1,7,9,15,0,20,2,0,9,4,0,0
511,7,15,1,14,0,0,4,0,1,6,8,1,6,2,1,28,0,14,0,11,1,1,59,32,2,0,0,8,2,37,2,11,3,14,4,24,3,0,12,2,1,3
512,18,12,0,11,1,0,5,0,4,5,9,0,2,4,3,13,1,13,1,12,1,1,40,33,3,0,0,5,0,32,0,8,12,23,1,10,3,0,12,5,0,1
