cellID,x,y,z,area,layerData,experiment
Cell_233,-2.086895807,-0.422091096,0.004267121,0.000357179,0,MouseVISp_AI
Cell_234,-1.307669442,-1.798992659,0.004234187,0.000221541,0,MouseVISp_AI
Cell_235,-2.145161242,-0.424141193,0.004258812,0.000452125,0,MouseVISp_AI
Cell_236,-1.460721609,-0.379239654,0.004254597,0.000375264,0,MouseVISp_AI
Cell_237,-1.738067407,-1.191227001,0.004354565,0.000262232,0,MouseVISp_AI
Cell_238,-1.509367011,-1.458160975,0.004372652,0.000309706,0,MouseVISp_AI
Cell_239,-1.39274959,-0.549251536,0.004351133,0.000474731,0,MouseVISp_AI
Cell_240,-1.4859593,-0.352832346,0.004406335,0.000230584,0,MouseVISp_AI
Cell_241,-1.379927543,-1.677453908,0.004340761,0.000323269,0,MouseVISp_AI
Cell_242,-1.509670392,-1.511063322,0.004383533,0.00054481,0,MouseVISp_AI
Cell_243,-0.930498191,-1.743082975,0.004424161,0.000259972,0,MouseVISp_AI
Cell_244,-2.379821503,-0.583110433,0.004455545,0.000461167,0,MouseVISp_AI
Cell_245,-2.079151057,-1.612230315,0.004360993,0.000549332,0,MouseVISp_AI
Cell_246,-1.500707547,-1.62043373,0.004331405,0.000241887,0,MouseVISp_AI
Cell_247,-1.922982532,-0.79681036,0.004319751,0.000517683,0,MouseVISp_AI
Cell_248,-1.633710929,-0.815759597,0.004243803,0.000212499,0,MouseVISp_AI
Cell_249,-1.082266246,-1.909454602,0.00424398,0.000198935,0,MouseVISp_AI
Cell_250,-2.217577581,-0.432362328,0.004262611,0.000278057,0,MouseVISp_AI
Cell_251,-2.245489839,-0.951895714,0.004263374,0.000350397,0,MouseVISp_AI
Cell_252,-1.650253142,-1.424337012,0.004254697,0.000255451,0,MouseVISp_AI
Cell_253,-2.011870243,-0.6205691,0.004214433,0.000287099,0,MouseVISp_AI
Cell_254,-2.061513162,-0.421698182,0.004216497,0.000241887,0,MouseVISp_AI
Cell_255,-2.021570242,-0.436888202,0.004255983,0.000519944,0,MouseVISp_AI
Cell_256,-1.918102836,-0.898886605,0.004238986,0.000816085,0,MouseVISp_AI
Cell_257,-1.805298831,-1.68221502,0.004293247,0.000302924,0,MouseVISp_AI
Cell_258,-1.516247543,-0.790554215,0.004290752,0.000287099,0,MouseVISp_AI
Cell_259,-1.614304738,-1.528221388,0.004285994,0.000207977,0,MouseVISp_AI
Cell_260,-1.334093908,-1.064497431,0.004292295,0.000314227,0,MouseVISp_AI
Cell_261,-1.972944164,-1.100604376,0.004232751,0.000551592,0,MouseVISp_AI
Cell_262,-1.92229393,-0.349327135,0.004309544,0.000241887,0,MouseVISp_AI
Cell_263,-1.706946783,-0.554007578,0.004201485,0.000339094,0,MouseVISp_AI
Cell_264,-1.350389222,-1.343979687,0.004269869,0.000296142,0,MouseVISp_AI
Cell_265,-2.414485224,-0.889999749,0.004223441,0.000280317,0,MouseVISp_AI
Cell_266,-1.510300812,-0.23268617,0.004263849,0.000375264,0,MouseVISp_AI
Cell_267,-1.692062259,-1.085409688,0.004314595,0.000309706,0,MouseVISp_AI
Cell_268,-1.745186055,-1.290600979,0.004370014,0.000259972,0,MouseVISp_AI
Cell_269,-0.865920441,-1.744951236,0.004302642,0.000515422,0,MouseVISp_AI
Cell_270,-1.739554819,-2.065566041,0.004367852,0.000196674,0,MouseVISp_AI
Cell_271,-2.053783462,-0.811650572,0.004290028,0.000210238,0,MouseVISp_AI
Cell_272,-1.787711337,-1.191848021,0.004309106,0.000284839,0,MouseVISp_AI
Cell_273,-1.767369758,-1.664129219,0.004339536,0.000273536,0,MouseVISp_AI
Cell_274,-1.605285613,-0.479654988,0.004266462,0.000259972,0,MouseVISp_AI
Cell_275,-1.609680833,-0.221292855,0.004302864,0.000897468,0,MouseVISp_AI
Cell_276,-2.448211185,-0.608339342,0.004334751,0.000628454,0,MouseVISp_AI
Cell_277,-1.911077825,-1.747395379,0.004301093,0.000359439,0,MouseVISp_AI
Cell_278,-1.350633393,-1.158201339,0.004282915,0.000535768,0,MouseVISp_AI
Cell_279,-2.4028897,-1.094278495,0.004363722,0.000264493,0,MouseVISp_AI
Cell_280,-1.133152512,-1.325812362,0.004374683,0.000513162,0,MouseVISp_AI
Cell_281,-1.90875157,-0.994597459,0.004373,0.000293881,0,MouseVISp_AI
Cell_282,-1.722087709,-1.303039676,0.004369427,0.000189892,0,MouseVISp_AI
Cell_283,-2.271885035,-1.419607328,0.004333779,0.000244147,0,MouseVISp_AI
Cell_284,-1.861396034,-1.478836873,0.004389177,0.000226062,0,MouseVISp_AI
Cell_285,-2.1928996,-1.202752892,0.004336337,0.000804782,0,MouseVISp_AI
Cell_286,-1.438902314,-1.31040371,0.00424109,0.000255451,0,MouseVISp_AI
Cell_287,-1.487273921,-1.380424755,0.004273119,0.000185371,0,MouseVISp_AI
Cell_288,-1.80395452,-0.948696077,0.004408029,0.000782176,0,MouseVISp_AI
Cell_289,-1.296815856,-1.723288612,0.004287925,0.000515422,0,MouseVISp_AI
Cell_290,-0.735049161,-1.718709086,0.004302393,0.000228323,0,MouseVISp_AI
